title,worldwide gross,percent domestic,distributor,release date,MPAA rating,runtime (mins),genres,time in release,widest release
Spider-Man: No Way Home,1867810538,42.2,Sony Pictures Entertainment (SPE),12/17/2021,PG-13,148,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",84,4336
Shang-Chi and the Legend of the Ten Rings,432243292,51.9,Walt Disney Studios Motion Pictures,9/3/2021,PG-13,132,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",189,4300
Venom: Let There Be Carnage,502050366,42.5,Sony Pictures Entertainment (SPE),10/1/2021,PG-13,97,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",161,4225
Black Widow,379751655,48.4,Walt Disney Studios Motion Pictures,7/9/2021,PG-13,134,"['Action', 'Adventure', 'Sci-Fi']",245,4275
F9: The Fast Saga,726229501,23.8,Universal Pictures,6/25/2021,PG-13,143,"['Action', 'Crime', 'Thriller']",259,4203
Eternals,402064899,41,Walt Disney Studios Motion Pictures,11/5/2021,PG-13,156,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",126,4090
No Time to Die,774153007,20.8,Metro-Goldwyn-Mayer (MGM),10/8/2021,PG-13,163,"['Action', 'Adventure', 'Thriller']",154,4407
A Quiet Place Part II,297372261,53.8,Paramount Pictures,5/28/2021,PG-13,97,"['Drama', 'Horror', 'Sci-Fi', 'Thriller']",287,3744
Sing 2,361225330,42.7,Universal Pictures,12/22/2021,PG,110,"['Adventure', 'Animation', 'Comedy', 'Family', 'Musical']",79,3892
Ghostbusters: Afterlife,197352317,65.5,Sony Pictures Entertainment (SPE),11/19/2021,PG-13,124,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",112,4315
Free Guy,331526598,36.7,20th Century Studios,8/13/2021,PG-13,115,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",210,4165
Jungle Cruise,220889446,53,Walt Disney Studios Motion Pictures,7/30/2021,PG-13,127,"['Action', 'Adventure', 'Comedy', 'Fantasy']",224,4310
Dune,400489663,27,Warner Bros.,10/22/2021,PG-13,155,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",140,4125
Godzilla vs. Kong,468216094,21.6,Warner Bros.,3/31/2021,PG-13,113,"['Action', 'Sci-Fi', 'Thriller']",345,3084
Encanto,248739458,38.5,Walt Disney Studios Motion Pictures,11/24/2021,PG,102,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",107,3980
Halloween Kills,131647155,69.9,Universal Pictures,10/15/2021,R,105,"['Horror', 'Thriller']",147,3727
Cruella,233503234,36.9,Walt Disney Studios Motion Pictures,5/28/2021,PG-13,134,"['Adventure', 'Comedy', 'Crime', 'Drama']",287,3922
Space Jam: A New Legacy,162892228,43.3,Warner Bros.,7/16/2021,PG,115,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi', 'Sport']",238,4002
The Conjuring: The Devil Made Me Do It,202031050,32.5,Warner Bros.,6/4/2021,R,112,"['Horror', 'Mystery', 'Thriller']",280,3280
Candyman,77411570,79,Universal Pictures,8/27/2021,R,91,"['Horror', 'Thriller']",196,3569
The Boss Baby: Family Business,146745280,39,Universal Pictures,7/2/2021,PG,107,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",252,3688
The Addams Family 2,119815153,47.1,United Artists Releasing,10/1/2021,PG,93,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Horror']",161,4207
The Suicide Squad,167417425,33.3,Warner Bros.,8/6/2021,R,132,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",217,4019
Raya and the Last Dragon,130423032,42,Walt Disney Studios Motion Pictures,3/5/2021,PG,107,"['Action', 'Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy']",371,2375
House of Gucci,152114574,35.4,United Artists Releasing,11/24/2021,R,158,"['Crime', 'Drama']",107,3477
Demon Slayer the Movie: Mugen Train,454779627,10.9,FUNimation Entertainment,4/23/2021,R,117,"['Action', 'Adventure', 'Animation', 'Fantasy', 'Horror']",322,2087
Clifford the Big Red Dog,106252356,46.1,Paramount Pictures,11/10/2021,PG,96,"['Adventure', 'Comedy', 'Family', 'Fantasy']",121,3700
Old,90146510,53.6,Universal Pictures,7/23/2021,PG-13,108,"['Drama', 'Horror', 'Mystery', 'Thriller']",231,3379
Tom & Jerry: The Movie,133336687,34.9,Warner Bros.,2/26/2021,PG,101,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",378,2563
The Forever Purge,76994245,57.8,Universal Pictures,7/2/2021,R,103,"['Action', 'Horror', 'Thriller']",252,3058
Mortal Kombat,83726031,50.6,Warner Bros.,4/23/2021,R,110,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']",322,3114
Peter Rabbit 2: The Runaway,153901717,26.3,Sony Pictures Entertainment (SPE),6/11/2021,PG,93,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy']",273,3346
PAW Patrol: The Movie,144327371,27.8,Paramount Pictures,8/20/2021,G,86,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",203,3189
West Side Story,73773713,51.9,20th Century Studios,12/10/2021,PG-13,156,"['Crime', 'Drama', 'Musical', 'Romance']",91,2820
Hitman's Wife's Bodyguard,70060492,54.3,Lionsgate,6/16/2021,R,100,"['Action', 'Comedy', 'Crime', 'Thriller']",268,3361
The Matrix Resurrections,156575035,24.1,Warner Bros.,12/22/2021,R,148,"['Action', 'Sci-Fi']",79,3552
The King's Man,125867883,29.5,20th Century Studios,12/22/2021,R,131,"['Action', 'Adventure', 'Thriller']",79,3180
Don't Breathe 2,47312950,69.1,Screen Gems,8/13/2021,R,98,"['Action', 'Crime', 'Horror', 'Thriller']",210,3005
In the Heights,43975167,68.2,Warner Bros.,6/11/2021,PG-13,143,"['Drama', 'Musical', 'Romance']",273,3509
Snake Eyes,40064325,70.5,Paramount Pictures,7/23/2021,PG-13,121,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']",231,3540
Nobody,55705035,49.5,Universal Pictures,3/26/2021,R,92,"['Action', 'Crime', 'Drama', 'Thriller']",350,2567
Wrath of Man,103966489,26.4,United Artists Releasing,5/7/2021,R,119,"['Action', 'Crime', 'Thriller']",308,3007
American Underdog,5861836,100,Lionsgate,12/25/2021,PG,112,"['Biography', 'Drama', 'Sport']",76,2813
Escape Room: Tournament of Champions,51914753,48.8,Sony Pictures Entertainment (SPE),7/16/2021,PG-13,88,"['Action', 'Adventure', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']",238,2815
Respect,31765870,76.4,Metro-Goldwyn-Mayer (MGM),8/13/2021,PG-13,145,"['Biography', 'Drama', 'Music']",210,3207
Spiral,40618920,57.2,Lionsgate,5/14/2021,R,93,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",301,2991
Ron's Gone Wrong,60692022,37.9,20th Century Studios,10/22/2021,PG,107,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']",140,3560
Spirit Untamed,42717215,41.5,Universal Pictures,6/4/2021,PG,88,"['Adventure', 'Animation', 'Comedy', 'Family', 'Western']",280,3394
The Green Knight,18888418,90.9,A24,7/30/2021,R,130,"['Adventure', 'Drama', 'Fantasy']",224,2798
Resident Evil: Welcome to Raccoon City,38600612,44,Screen Gems,11/24/2021,R,107,"['Action', 'Horror', 'Sci-Fi']",107,2803
Licorice Pizza,27400103,60.2,United Artists Releasing,11/26/2021,R,133,"['Comedy', 'Drama', 'Romance']",105,1977
The French Dispatch,46185913,34.9,Searchlight Pictures,10/22/2021,R,107,"['Comedy', 'Drama', 'Romance']",140,1225
The Marksman,23076711,67.5,Open Road Films (II),1/15/2021,PG-13,108,"['Action', 'Adventure', 'Drama', 'Thriller', 'Western']",420,2018
The Unholy,30832137,50.4,Screen Gems,4/2/2021,PG-13,99,"['Drama', 'Horror', 'Mystery']",343,2057
The Little Things,29942746,51.2,Warner Bros.,1/29/2021,R,128,"['Crime', 'Drama', 'Mystery', 'Thriller']",406,2206
King Richard,37206424,40.3,Warner Bros.,11/19/2021,PG-13,144,"['Biography', 'Drama', 'Sport']",112,3302
Dear Evan Hansen,19023625,78.9,Universal Pictures,9/24/2021,PG-13,137,"['Drama', 'Musical']",168,3364
Stillwater,19672073,73.5,Focus Features,7/30/2021,R,139,"['Crime', 'Drama', 'Thriller']",224,2611
Malignant,33991791,39.4,Warner Bros.,9/10/2021,R,111,"['Crime', 'Horror', 'Mystery', 'Thriller']",182,3501
Chaos Walking,26508132,50.1,Lionsgate,3/5/2021,PG-13,109,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",371,2132
My Hero Academia: World Heroes' Mission,46567849,26.4,FUNimation Entertainment,10/29/2021,PG-13,104,"['Action', 'Adventure', 'Animation', 'Fantasy', 'Sci-Fi']",133,1585
Nightmare Alley,37424932,30,Searchlight Pictures,12/17/2021,R,150,"['Crime', 'Drama', 'Thriller']",84,2145
The Last Duel,30552111,35.5,20th Century Studios,10/15/2021,R,152,"['Action', 'Drama', 'History', 'Thriller']",147,3065
Antlers,18867659,56.3,Searchlight Pictures,10/29/2021,R,99,"['Drama', 'Horror', 'Mystery']",133,2800
Cry Macho,14340402,71.9,Warner Bros.,9/17/2021,PG-13,104,['Drama'],175,4022
Last Night in Soho,22957625,44.1,Focus Features,10/29/2021,R,116,"['Drama', 'Horror', 'Mystery', 'Thriller']",133,3016
Belfast,37646790,23.3,Focus Features,11/12/2021,PG-13,98,"['Biography', 'Drama', 'History']",119,1255
The Protégé,8282208,89.9,Lionsgate,8/20/2021,R,109,"['Action', 'Thriller']",203,2577
Those Who Wish Me Dead,23468586,31.6,Warner Bros.,5/14/2021,R,100,"['Action', 'Crime', 'Drama', 'Thriller']",301,3379
The Night House,15437703,46,Searchlight Pictures,8/20/2021,R,107,"['Horror', 'Mystery', 'Thriller']",203,2240
