C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A002,R051,02-00-00,59 ST,NQR456W,BMT,11/14/2020,03:00:00,REGULAR,7488490,2548950
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,11/14/2020,01:00:00,REGULAR,4364221,7518235
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,11/14/2020,01:00:00,REGULAR,3612,0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,11/14/2020,03:00:00,REGULAR,5032046,2891537
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,11/14/2020,03:00:00,REGULAR,471751,1603795
A013,R081,01-00-00,49 ST,NQRW,BMT,11/14/2020,03:00:00,REGULAR,6239588,38788502
A014,R081,02-00-00,49 ST,NQRW,BMT,11/14/2020,03:00:00,REGULAR,3044499,1088923
A015,R081,00-00-00,49 ST,NQRW,BMT,11/14/2020,03:00:00,REGULAR,13065614,4288433
A016,R081,03-00-00,49 ST,NQRW,BMT,11/14/2020,03:00:00,REGULAR,4061584,4994546
A021,R032,01-00-00,TIMES SQ-42 ST,ACENQRS1237W,BMT,11/14/2020,03:00:00,REGULAR,9820787,12264864
A022,R022,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,11/14/2020,03:00:00,REGULAR,28641215,12062495
A025,R023,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,11/14/2020,03:00:00,REGULAR,5426448,10359282
A027,R082,01-00-00,28 ST,NRW,BMT,11/14/2020,03:00:00,REGULAR,3894233,4717652
A029,R082,00-00-00,28 ST,NRW,BMT,11/14/2020,03:00:00,REGULAR,4366095,15889865
A030,R083,01-00-00,23 ST,NRW,BMT,11/14/2020,03:00:00,REGULAR,32527,35239
A031,R083,00-00-00,23 ST,NRW,BMT,11/14/2020,03:00:00,REGULAR,1897432,1079844
A033,R170,02-00-00,14 ST-UNION SQ,LNQR456W,BMT,11/14/2020,00:00:00,REGULAR,354813,1113207
A034,R170,03-00-00,14 ST-UNION SQ,LNQR456W,BMT,11/14/2020,00:00:00,REGULAR,2257282,17663030
A035,R170,00-00-00,14 ST-UNION SQ,LNQR456W,BMT,11/14/2020,00:00:00,REGULAR,225248,554537
A037,R170,05-00-00,14 ST-UNION SQ,LNQR456W,BMT,11/14/2020,00:00:00,REGULAR,1124905,733949
A038,R085,00-00-00,8 ST-NYU,NRW,BMT,11/14/2020,03:00:00,REGULAR,4017953,3567593
A039,R085,01-00-00,8 ST-NYU,NRW,BMT,11/14/2020,03:00:00,REGULAR,1626600,6996089
A041,R086,00-00-00,PRINCE ST,NRW,BMT,11/14/2020,03:00:00,REGULAR,12608911,4786343
A042,R086,01-00-00,PRINCE ST,NRW,BMT,11/14/2020,03:00:00,REGULAR,1391094,9365551
A043,R462,00-00-00,CANAL ST,JNQRZ6W,BMT,11/14/2020,00:00:00,REGULAR,371695074,456558312
A046,R463,00-00-00,CANAL ST,JNQRZ6W,BMT,11/14/2020,00:00:00,REGULAR,4256603,423798
A047,R087,00-00-00,CITY HALL,NRW,BMT,11/14/2020,03:00:00,REGULAR,18389,21655
A049,R088,02-00-00,CORTLANDT ST,RNW,BMT,11/14/2020,00:00:00,REGULAR,894963,1349228
A050,R088,00-00-00,CORTLANDT ST,RNW,BMT,11/14/2020,00:00:00,REGULAR,3962868,5650967
A052,R088,01-00-00,CORTLANDT ST,RNW,BMT,11/14/2020,00:00:00,REGULAR,234305,237781
A053,R088,03-00-00,CORTLANDT ST,RNW,BMT,11/14/2020,00:00:00,REGULAR,1156967,633455
A054,R227,01-00-00,RECTOR ST,NRW,BMT,11/14/2020,03:00:00,REGULAR,5549039,8044864
A055,R227,00-00-00,RECTOR ST,NRW,BMT,11/14/2020,03:00:00,REGULAR,1303660,503618
A058,R001,01-00-00,WHITEHALL S-FRY,R1W,BMT,11/14/2020,00:00:00,REGULAR,1917082,4485932
A060,R001,00-00-00,WHITEHALL S-FRY,R1W,BMT,11/14/2020,00:00:00,REGULAR,5186405,2979022
A061,R142,00-00-00,DELANCEY/ESSEX,FJMZ,BMT,11/14/2020,00:00:00,REGULAR,14031371,12429847
A064,R311,00-00-00,BOWERY,JZ,BMT,11/14/2020,03:00:00,REGULAR,6132205,4324302
A066,R118,00-00-00,CANAL ST,JNQRZ6W,BMT,11/14/2020,00:00:00,REGULAR,1722812256,1763576764
A069,R044,01-00-00,CHAMBERS ST,JZ456,BMT,11/14/2020,03:00:00,REGULAR,175227,977361
A071,R044,02-00-00,CHAMBERS ST,JZ456,BMT,11/14/2020,03:00:00,REGULAR,174509,97300
A077,R028,03-00-00,FULTON ST,ACJZ2345,BMT,11/14/2020,02:00:00,REGULAR,380243,110646
A081,R028,04-00-00,FULTON ST,ACJZ2345,BMT,11/14/2020,02:00:00,REGULAR,213033,1273047
A082,R028,05-05-00,FULTON ST,ACJZ2345,BMT,11/14/2020,02:00:00,REGULAR,33554914,16777216
A083,R125,00-00-00,BROAD ST,JZ,BMT,11/14/2020,00:00:00,REGULAR,5967255,2191098
A084,R125,01-00-00,BROAD ST,JZ,BMT,11/14/2020,00:00:00,REGULAR,300046,12210
A085,R125,02-05-00,BROAD ST,JZ,BMT,11/14/2020,00:00:00,REGULAR,0,1127
B004,R171,00-00-00,7 AV,BQ,BMT,11/14/2020,00:00:00,REGULAR,7728772,5737095
B009,R411,00-00-00,PARK PLACE,S,BMT,11/14/2020,00:00:00,REGULAR,6688934,5917762
B010,R412,00-00-00,BOTANIC GARDEN,S2345,BMT,11/14/2020,00:00:00,REGULAR,185599,288534
B012,R196,00-00-00,PROSPECT PARK,BQS,BMT,11/14/2020,03:00:00,REGULAR,1569222856,786022957
