C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/13/2021,03:00:00,REGULAR,7543925,2573549
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,03/13/2021,01:00:00,REGULAR,4421802,7612738
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,03/13/2021,01:00:00,REGULAR,3641,0
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,03/13/2021,03:00:00,REGULAR,5088601,2972182
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,03/13/2021,03:00:00,REGULAR,482409,1614388
A013,R081,01-00-00,49 ST,NQRW,BMT,03/13/2021,03:00:00,REGULAR,6249798,38875927
A014,R081,02-00-00,49 ST,NQRW,BMT,03/13/2021,03:00:00,REGULAR,22317,11101
A015,R081,00-00-00,49 ST,NQRW,BMT,03/13/2021,03:00:00,REGULAR,13087675,4303528
A016,R081,03-00-00,49 ST,NQRW,BMT,03/13/2021,03:00:00,REGULAR,4071378,5050189
A021,R032,01-00-00,TIMES SQ-42 ST,ACENQRS1237W,BMT,03/13/2021,03:00:00,REGULAR,9914652,12411703
A022,R022,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,03/13/2021,03:00:00,REGULAR,28752847,12152917
A025,R023,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,03/13/2021,03:00:00,REGULAR,5508199,10534102
A027,R082,01-00-00,28 ST,NRW,BMT,03/13/2021,03:00:00,REGULAR,3921544,4776939
A029,R082,00-00-00,28 ST,NRW,BMT,03/13/2021,03:00:00,REGULAR,4376547,15974028
A030,R083,01-00-00,23 ST,NRW,BMT,03/13/2021,03:00:00,REGULAR,64710,71818
A031,R083,00-00-00,23 ST,NRW,BMT,03/13/2021,03:00:00,REGULAR,1945557,1110419
A033,R170,02-00-00,14 ST-UNION SQ,LNQR456W,BMT,03/13/2021,00:00:00,REGULAR,367676,1172185
A034,R170,03-00-00,14 ST-UNION SQ,LNQR456W,BMT,03/13/2021,00:00:00,REGULAR,2279568,17838224
A035,R170,00-00-00,14 ST-UNION SQ,LNQR456W,BMT,03/13/2021,00:00:00,REGULAR,229664,563989
A037,R170,05-00-00,14 ST-UNION SQ,LNQR456W,BMT,03/13/2021,00:00:00,REGULAR,1221850,821163
A038,R085,00-00-00,8 ST-NYU,NRW,BMT,03/13/2021,03:00:00,REGULAR,4039473,3600016
A039,R085,01-00-00,8 ST-NYU,NRW,BMT,03/13/2021,03:00:00,REGULAR,8772,42652
A041,R086,00-00-00,PRINCE ST,NRW,BMT,03/13/2021,03:00:00,REGULAR,12662772,4812188
A042,R086,01-00-00,PRINCE ST,NRW,BMT,03/13/2021,03:00:00,REGULAR,1397474,9434857
A043,R462,00-00-00,CANAL ST,JNQRZ6W,BMT,03/13/2021,00:00:00,REGULAR,371733892,456613367
A046,R463,00-00-00,CANAL ST,JNQRZ6W,BMT,03/13/2021,00:00:00,REGULAR,4263646,427300
A047,R087,00-00-00,CITY HALL,NRW,BMT,03/13/2021,03:00:00,REGULAR,26156,32958
A049,R088,02-00-00,CORTLANDT ST,RNW,BMT,03/13/2021,00:00:00,REGULAR,903011,1380447
A050,R088,00-00-00,CORTLANDT ST,RNW,BMT,03/13/2021,00:00:00,REGULAR,1468,5501
A052,R088,01-00-00,CORTLANDT ST,RNW,BMT,03/13/2021,00:00:00,REGULAR,245648,248805
A053,R088,03-00-00,CORTLANDT ST,RNW,BMT,03/13/2021,00:00:00,REGULAR,1161340,656010
A054,R227,01-00-00,RECTOR ST,NRW,BMT,03/13/2021,03:00:00,REGULAR,5559946,8070146
A055,R227,00-00-00,RECTOR ST,NRW,BMT,03/13/2021,03:00:00,REGULAR,1320698,508989
A058,R001,01-00-00,WHITEHALL S-FRY,R1W,BMT,03/13/2021,00:00:00,REGULAR,1932581,4538850
A060,R001,00-00-00,WHITEHALL S-FRY,R1W,BMT,03/13/2021,00:00:00,REGULAR,5275069,3014423
A061,R142,00-00-00,DELANCEY/ESSEX,FJMZ,BMT,03/13/2021,00:00:00,REGULAR,14114567,12518325
A064,R311,00-00-00,BOWERY,JZ,BMT,03/13/2021,03:00:00,REGULAR,6159557,4363605
A066,R118,00-00-00,CANAL ST,JNQRZ6W,BMT,03/13/2021,00:00:00,REGULAR,1722723710,1763684304
